day_post_inf,lifestage,number_parasites,strain,presence,temp,humidity,ref,vector_species,vector_strain,DTR,index_ref
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,6,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,15,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,6,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,10,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,9,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,11,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,6,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,12,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
5,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
6,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
